Model_Feature Total_time Time_per_image
alexnet_p_fc6_rbf 3122.0503 0.1539
alexnet_p_fc7_rbf 1310.5526 0.0646
alexnet_p_c_fc6_rbf 3543.4026 0.1689
alexnet_p_c_fc7_rbf 1666.4866 0.0794
alexnet_p_without_weights_fc6_rbf 3418.8164 0.1686
alexnet_p_without_weights_fc7_rbf 1378.4882 0.0679
alexnet_p_c_without_weights_fc6_rbf 3602.1171 0.1717
alexnet_p_c_without_weights_fc7_rbf 1487.4236 0.0709
alexnet_fc6_linear 1478.1715 1478.1715
alexnet_fc7_linear 1061.2305 1061.2305
alexnet_p_fc6_linear 1299.9615 1299.9615
alexnet_p_fc7_linear 440.3293 440.3293
alexnet_p_c_fc6_linear 1775.8818 1775.8818
alexnet_p_c_fc7_linear 621.8729 621.8729
alexnet_p_without_weights_fc6_linear 1481.7836 1481.7836
alexnet_p_without_weights_fc7_linear 515.3600 515.36
alexnet_p_c_without_weights_fc6_linear 1796.7020 1796.702
alexnet_p_c_without_weights_fc7_linear 643.9775 643.9775
alexnet_fc6_rbf 4820.0905 4820.0905
alexnet_fc7_rbf 2630.3921 2630.3921
